CourseID,Month,CurrentEnrollments,CurrentRevenue,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,YearsOfExperience,TeacherRating,ExpertiseCategoryMatch,PastEnrollmentCount,PastAverageRevenue,RevenuePerEnrollment,TargetEnrollmentCount,TargetCourseRevenue,ForecastMonth,MonthNumber,PriceBand,DurationBucket,RatingTier,ExperienceBucket
CR00001,2025-01,18,8501.039999999999,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,16.682926829268293,4.191646341463414,0.13414634146341464,18,8501.039999999999,472.28,11.0,5195.08,2025-02,2,High,Short,Excellent,Senior
CR00001,2025-02,11,5195.08,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,16.682926829268293,4.191646341463414,0.13414634146341464,11,6848.0599999999995,472.28,8.0,3778.24,2025-03,3,High,Short,Excellent,Senior
CR00001,2025-03,8,3778.24,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,16.682926829268293,4.191646341463414,0.13414634146341464,8,5824.786666666667,472.28,14.0,6611.92,2025-04,4,High,Short,Excellent,Senior
CR00001,2025-04,14,6611.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,16.682926829268293,4.191646341463414,0.13414634146341464,14,6021.57,472.28000000000003,17.0,8028.759999999999,2025-05,5,High,Short,Excellent,Senior
CR00001,2025-05,17,8028.759999999999,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,16.682926829268293,4.191646341463414,0.13414634146341464,17,6423.008,472.28,11.0,5195.08,2025-06,6,High,Short,Excellent,Senior
CR00001,2025-06,11,5195.08,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,16.682926829268293,4.191646341463414,0.13414634146341464,11,6218.353333333333,472.28,12.0,5667.36,2025-07,7,High,Short,Excellent,Senior
CR00001,2025-07,12,5667.36,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,16.682926829268293,4.191646341463414,0.13414634146341464,12,6139.639999999999,472.28,12.0,5667.36,2025-08,8,High,Short,Excellent,Senior
CR00001,2025-08,12,5667.36,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,16.682926829268293,4.191646341463414,0.13414634146341464,12,6080.605,472.28,23.0,10862.439999999999,2025-09,9,High,Short,Excellent,Senior
CR00001,2025-09,23,10862.439999999999,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,16.682926829268293,4.191646341463414,0.13414634146341464,23,6611.92,472.2799999999999,13.0,6139.639999999999,2025-10,10,High,Short,Excellent,Senior
CR00001,2025-10,13,6139.639999999999,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,16.682926829268293,4.191646341463414,0.13414634146341464,13,6564.692,472.28,13.0,6139.639999999999,2025-11,11,High,Short,Excellent,Senior
